token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
вернулся,вернуться,pf,fin,intr,sg,praet,indic,None,None
взвился,взвиваться,pf,fin,intr,sg,praet,indic,None,None
постановило,постанавливать,pf,fin,tran,sg,praet,indic,None,None
создать,создавать,pf,inf,tran,None,None,None,None,None
нашла,находить,pf,fin,tran,sg,praet,indic,None,None
постановила,постанавливать,pf,fin,tran,sg,praet,indic,None,None
считать,считать,ipf,inf,tran,None,None,None,None,None
поднимается,подниматься,ipf,fin,intr,sg,praes,indic,3,None
учитывается,учитываться,ipf,fin,intr,sg,praes,indic,3,None
считается,считаться,ipf,fin,intr,sg,praes,indic,3,None
располагается,располагаться,ipf,fin,intr,sg,praes,indic,3,None
поднимается,подниматься,ipf,fin,intr,sg,praes,indic,3,None
быть,быть,ipf,inf,intr,None,None,None,None,None
располагать,располагать,ipf,inf,intr,None,None,None,None,None
располагаются,располагаться,ipf,fin,intr,pl,praes,indic,3,None
располагаются,располагаться,ipf,fin,intr,pl,praes,indic,3,None
поднимаются,подниматься,ipf,fin,intr,pl,praes,indic,3,None
прибывшего,прибывать,pf,partcp,intr,sg,praet,None,None,act
отдается,отдаваться,ipf,fin,intr,sg,praes,indic,3,None
устанавливается,устанавливаться,ipf,fin,intr,sg,praes,indic,3,None
сидящего,сидеть,ipf,partcp,intr,sg,praes,None,None,act
поднимается,подниматься,ipf,fin,intr,sg,praes,indic,3,None
опускается,опускаться,ipf,fin,intr,sg,praes,indic,3,None
висит,висеть,ipf,fin,intr,sg,praes,indic,3,None
обеспечивается,обеспечиваться,ipf,fin,intr,sg,praes,indic,3,None
поднимается,подниматься,ipf,fin,intr,sg,praes,indic,3,None
опускается,опускаться,ipf,fin,intr,sg,praes,indic,3,None
крепится,крепиться,ipf,fin,intr,sg,praes,indic,3,None
защищается,защищаться,ipf,fin,intr,sg,praes,indic,3,None
несут,нести,ipf,fin,tran,pl,praes,indic,3,None
является,являться,ipf,fin,intr,sg,praes,indic,3,None
уступает,уступать,ipf,fin,tran,sg,praes,indic,3,None
поражающему,поражать,ipf,partcp,tran,sg,praes,None,None,act
появился,появляться,pf,fin,intr,sg,praet,indic,None,None
