token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
выделены,выделить,pf,partcp,tran,pl,praet,,,pass
применяемым,применять,ipf,partcp,tran,sg,praes,,,pass
пригласивший,пригласить,pf,partcp,tran,sg,praet,,,act
поставленной,поставить,pf,partcp,tran,sg,praet,,,pass
вызывающего,вызывать,ipf,partcp,tran,sg,praes,,,act
остывающий,остывать,ipf,partcp,intr,sg,praes,,,act
установлена,установить,pf,partcp,tran,sg,praet,,,pass
ломающие,ломать,ipf,partcp,tran,pl,praes,,,act
вызываемый,вызывать,ipf,partcp,tran,sg,praes,,,pass
растаявшего,растаять,pf,partcp,intr,sg,praet,,,act
представлены,представить,pf,partcp,tran,pl,praet,,,pass
заявленная,заявить,pf,partcp,tran,sg,praet,,,pass
вызванная,вызвать,pf,partcp,tran,sg,praet,,,pass
демонстрирующих,демонстрировать,ipf,partcp,tran,pl,praes,,,act
обережённые,оберечь,pf,partcp,tran,pl,praet,,,pass
назначенный,назначить,pf,partcp,tran,sg,praet,,,pass
уходящий,уходить,ipf,partcp,intr,sg,praes,,,act
построено,построить,pf,partcp,tran,sg,praet,,,pass
разведённых,развести,pf,partcp,tran,pl,praet,,,pass
бормочущие,бормотать,ipf,partcp,tran,pl,praes,,,act
протекающей,протекать,ipf,partcp,intr,sg,praes,,,act
обезоруживающим,обезоруживать,ipf,partcp,tran,sg,praes,,,act
сохранена,сохранить,pf,partcp,tran,sg,praet,,,pass
игравшую,играть,ipf,partcp,tran,sg,praet,,,act
затихший,затихнуть,pf,partcp,intr,sg,praet,,,act
издающий,издавать,ipf,partcp,tran,sg,praes,,,act
потрясающий,потрясать,ipf,partcp,tran,sg,praes,,,act
обвиняемого,обвинять,ipf,partcp,tran,sg,praes,,,pass
повешенная,повесить,pf,partcp,tran,sg,praet,,,pass
закончено,закончить,pf,partcp,tran,sg,praet,,,pass
выявленная,выявить,pf,partcp,tran,sg,praet,,,pass
ускоренной,ускорить,pf,partcp,tran,sg,praet,,,pass
именуемой,именовать,ipf,partcp,tran,sg,praes,,,pass
влюблённых,влюбить,pf,partcp,tran,pl,praet,,,pass
ведущей,вести,ipf,partcp,tran,sg,praes,,,act
развиты,развить,pf,partcp,tran,pl,praet,,,pass
прислонена,прислонить,pf,partcp,tran,sg,praet,,,pass
пившего,пить,ipf,partcp,tran,sg,praet,,,act
показана,показать,pf,partcp,tran,sg,praet,,,pass
согревающего,согревать,ipf,partcp,tran,sg,praes,,,act
справлявшего,справлять,ipf,partcp,tran,sg,praet,,,act
вызываемого,вызывать,ipf,partcp,tran,sg,praes,,,pass
придумано,придумать,pf,partcp,tran,sg,praet,,,pass
признан,признать,pf,partcp,tran,sg,praet,,,pass
оставленную,оставить,pf,partcp,tran,sg,praet,,,pass
оставленная,оставить,pf,partcp,tran,sg,praet,,,pass
отсидевшие,отсидеть,pf,partcp,tran,pl,praet,,,act
изувеченной,изувечить,pf,partcp,tran,sg,praet,,,pass
осипшим,осипнуть,pf,partcp,intr,sg,praet,,,act
прицепленной,прицепить,pf,partcp,tran,sg,praet,,,pass
одурманенный,одурманить,pf,partcp,tran,sg,praet,,,pass
разобраны,разобрать,pf,partcp,tran,pl,praet,,,pass
получен,получить,pf,partcp,tran,sg,praet,,,pass
недопитая,недопить,pf,partcp,tran,sg,praet,,,pass
изучена,изучить,pf,partcp,tran,sg,praet,,,pass
составляющих,составлять,ipf,partcp,tran,pl,praes,,,act
бормочущий,бормотать,ipf,partcp,tran,sg,praes,,,act
уведённый,увести,pf,partcp,tran,sg,praet,,,pass
получен,получить,pf,partcp,tran,sg,praet,,,pass
проснувшиеся,проснуться,pf,partcp,intr,pl,praet,,,med
приходящих,приходить,ipf,partcp,intr,pl,praes,,,act
оглушённый,оглушить,pf,partcp,tran,sg,praet,,,pass
правившие,править,ipf,partcp,intr,pl,praet,,,act
очищенный,очистить,pf,partcp,tran,sg,praet,,,pass
сделана,сделать,pf,partcp,tran,sg,praet,,,pass
окружённая,окружить,pf,partcp,tran,sg,praet,,,pass
превосходящим,превосходить,ipf,partcp,tran,sg,praes,,,act
посажены,посадить,pf,partcp,tran,pl,praet,,,pass
скрывающихся,скрываться,ipf,partcp,intr,pl,praes,,,med
прогнутая,прогнуть,pf,partcp,tran,sg,praet,,,pass
занавешенными,занавесить,pf,partcp,tran,pl,praet,,,pass
обеспечивающих,обеспечивать,ipf,partcp,tran,pl,praes,,,act
получен,получить,pf,partcp,tran,sg,praet,,,pass
вырастающие,вырастать,ipf,partcp,intr,pl,praes,,,act
натаскан,натаскать,pf,partcp,tran,sg,praet,,,pass
выхолощенным,выхолостить,pf,partcp,tran,sg,praet,,,pass
переплетённый,переплести,pf,partcp,tran,sg,praet,,,pass
падавшего,падать,ipf,partcp,intr,sg,praet,,,act
очищенного,очистить,pf,partcp,tran,sg,praet,,,pass
растоптан,растоптать,pf,partcp,tran,sg,praet,,,pass
исключено,исключить,pf,partcp,tran,sg,praet,,,pass
заслуженного,заслужить,pf,partcp,tran,sg,praet,,,pass
опоздавших,опоздать,pf,partcp,intr,pl,praet,,,act
действующих,действовать,ipf,partcp,intr,pl,praes,,,act
разделяющих,разделять,ipf,partcp,tran,pl,praes,,,act
стоявшие,стоять,ipf,partcp,intr,pl,praet,,,act
закрыта,закрыть,pf,partcp,tran,sg,praet,,,pass
побеждающей,побеждать,ipf,partcp,tran,sg,praes,,,act
оставшуюся,остаться,pf,partcp,intr,sg,praet,,,med
отнятую,отнять,pf,partcp,,sg,praet,,,pass
поваленное,повалить,pf,partcp,tran,sg,praet,,,pass
вышедшую,выйти,pf,partcp,intr,sg,praet,,,act
выученный,выучить,pf,partcp,tran,sg,praet,,,pass
занятые,занять,pf,partcp,tran,pl,praet,,,pass
закрытых,закрыть,pf,partcp,tran,pl,praet,,,pass
выкатившейся,выкатиться,pf,partcp,intr,sg,praet,,,med
обтягивающий,обтягивать,ipf,partcp,tran,sg,praes,,,act
написаны,написать,pf,partcp,tran,pl,praet,,,pass
пославшую,послать,pf,partcp,tran,sg,praet,,,act
изучающих,изучать,ipf,partcp,tran,pl,praes,,,act
открытые,открыть,pf,partcp,tran,pl,praet,,,pass
забытый,забыть,pf,partcp,,sg,praet,,,pass
закрытую,закрыть,pf,partcp,,sg,praet,,,pass
обеспечивающую,обеспечивать,ipf,partcp,tran,sg,praes,,,act
показаны,показать,pf,partcp,tran,pl,praet,,,pass
потерявшие,потерять,pf,partcp,tran,pl,praet,,,act
касающиеся,касаться,ipf,partcp,intr,pl,praes,,,med
расположенный,расположить,pf,partcp,tran,sg,praet,,,pass
дающие,давать,ipf,partcp,tran,pl,praes,,,act
организованных,организовать,pf,partcp,tran,pl,praet,,,pass
запомнившийся,запомниться,pf,partcp,intr,sg,praet,,,med
задана,задать,pf,partcp,tran,sg,praet,,,pass
сформулированы,сформулировать,pf,partcp,tran,pl,praet,,,pass
показаны,показать,pf,partcp,tran,pl,praet,,,pass
разрушено,разрушить,pf,partcp,tran,sg,praet,,,pass
смоченной,смочить,pf,partcp,tran,sg,praet,,,pass
разогретых,разогреть,pf,partcp,,pl,praet,,,pass
разрешено,разрешить,pf,partcp,tran,sg,praet,,,pass
свидетельствующие,свидетельствовать,ipf,partcp,intr,pl,praes,,,act
подошедший,подойти,pf,partcp,intr,sg,praet,,,act
надраенные,надраить,pf,partcp,tran,pl,praet,,,pass
выступившая,выступить,pf,partcp,intr,sg,praet,,,act
составлена,составить,pf,partcp,tran,sg,praet,,,pass
изготовлены,изготовить,pf,partcp,tran,pl,praet,,,pass
попавший,попасть,pf,partcp,intr,sg,praet,,,act
усвоивших,усвоить,pf,partcp,tran,pl,praet,,,act
прорубленный,прорубить,pf,partcp,tran,sg,praet,,,pass
растущие,расти,ipf,partcp,intr,pl,praes,,,act
описывающая,описывать,ipf,partcp,tran,sg,praes,,,act
уехавших,уехать,pf,partcp,intr,pl,praet,,,act
проходящий,проходить,ipf,partcp,tran,sg,praes,,,act
показан,показать,pf,partcp,tran,sg,praet,,,pass
сложившейся,сложиться,pf,partcp,intr,sg,praet,,,med
учившихся,учиться,ipf,partcp,intr,pl,praet,,,med
сходящему,сходить,ipf,partcp,intr,sg,praes,,,act
увита,увить,pf,partcp,tran,sg,praet,,,pass
начавшееся,начаться,pf,partcp,intr,sg,praet,,,med
заставляющую,заставлять,ipf,partcp,tran,sg,praes,,,act
рассматриваемая,рассматривать,ipf,partcp,tran,sg,praes,,,pass
исполняемых,исполнять,ipf,partcp,tran,pl,praes,,,pass
тонущего,тонуть,ipf,partcp,intr,sg,praes,,,act
уроненная,уронить,pf,partcp,tran,sg,praet,,,pass
возвратившемуся,возвратиться,pf,partcp,intr,sg,praet,,,med
принимаемое,принимать,ipf,partcp,tran,sg,praes,,,pass
устроен,устроить,pf,partcp,tran,sg,praet,,,pass
