verb,factor1,factor2,group
постараться pf,24.7137718915118,-29.5457934865689,1
осветить pf,0.679986837126092,-29.4610152678777,1
пережить pf,63.4988983867036,-29.3594964521364,1
завести pf,67.0182020423598,-29.2510050662134,1
выскочить pf,125.444670528888,-29.242081679896,1
заслужить pf,18.0157429674554,-28.9967307838824,1
жениться pf,97.9892904180014,-28.9812223429235,1
удивить pf,50.9376449475033,-28.9494866930621,1
одеть pf,-30.7844424913397,-28.8802829532447,1
потребоваться pf,22.2447649784686,-28.7713366714752,1
исключить pf,-15.8530530422933,-28.6216739919598,1
заложить pf,9.34414017268326,-28.5586319377282,1
оценить pf,66.3322804882567,-28.5558267616868,1
доказать pf,28.3700944155497,-28.4629520704667,1
заглянуть pf,102.720484335792,-28.4275550315787,1
поддержать pf,67.2652234194321,-28.3606258577314,1
вынести pf,68.963719123447,-28.2987241480884,1
предоставить pf,13.1793435658984,-28.2663931267959,1
заполнить pf,1.07434850828574,-28.0851009883445,1
обеспечить pf,-1.045470268007,-27.9333973322459,1
украсть pf,69.8210516265382,-27.9265230137695,1
родить pf,41.4226782681498,-27.8676342987535,1
утвердить pf,6.69189808181794,-27.8601644776316,1
замолчать pf,123.913151518639,-27.843693583662,1
задуматься pf,115.117561503192,-27.8017762368838,1
решиться pf,103.590783028406,-27.4897354346359,1
освободить pf,22.2110386374336,-27.3203868439259,1
спрятать pf,65.2893280802957,-27.244581497366,1
заснуть pf,100.485247235206,-27.2170028054898,1
ощутить pf,125.041357402094,-27.1414895705955,1
захватить pf,47.936549571786,-27.1283461768618,1
задержать pf,22.0723073537072,-27.1133697611739,1
добраться pf,79.7867555582324,-27.0968866421753,1
отвернуться pf,100.663471561883,-27.0849349614057,1
запереть pf,21.2830231899903,-26.9977270051391,1
запомнить pf,84.0639169712738,-26.9073682840335,1
разобраться pf,20.0872161832813,-26.8933119181427,1
набрать pf,60.8845262612855,-26.8802246483073,1
повесить pf,73.2636498632445,-26.8043008871069,1
спуститься pf,111.867622960768,-26.8000385965837,1
высказать pf,54.0219549235396,-26.7350773543658,1
разрушить pf,1.57239009033656,-26.6094722361839,1
рассчитать pf,-19.1980908248976,-26.3458713032259,1
окончить pf,75.4598952144912,-26.3381364721584,1
обнять pf,114.360186146641,-26.1686272738583,1
напечатать pf,0.444576689160282,-26.118985902775,1
подчеркнуть pf,33.6247784898925,-26.0109839303425,1
обусловить pf,-29.1356470211553,-25.9813321731488,1
прибыть pf,74.5132236608455,-25.8258612648383,1
научить pf,54.6995170436635,-25.8237019407145,1
забить pf,30.5981818033399,-25.7512654468764,1
