"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"вырвать pf",0.103566099749253,-0.111581389643463,0.0266593882473536,0.0375528033996326,0.00973361372173329,-0.00476875005315496,-0.011895375873805,0.0067240137090534,8.1900632109555e-16
"вырваться pf",0.217380661296229,-0.0753748164507304,-0.191111796216536,0.0523744120830976,-0.0238396217273912,-0.00202322018102141,-0.0153037119174842,0.0055459221076784,6.48352899146332e-17
"высказать pf",0.0605409183616507,-0.178154387357028,0.0229910483663412,0.0302985614107343,-0.0153622103786996,0.00398792720404586,-0.00769777559561095,0.00324045357917451,8.14235831536614e-16
"выскочить pf",0.407092483294843,-0.00585478692617624,-0.00181296273043256,5.84563783313642e-05,-0.0212201275893935,-0.00846033834006173,0.0187309355846521,-0.00990521355963734,-5.8265024749371e-16
"выслушать pf",0.0935381299209065,-0.0860038334289505,-0.116306100780822,-0.173158140846409,-0.1456375174387,0.122958560314635,-0.0157302558773856,0.000642245880451526,-1.11130722679764e-15
"выставить pf",-0.11112328936805,-0.133237937120024,0.0401601499035061,-0.0156621533405758,-0.0622538170597304,0.0522000250795172,-0.00557846796230482,-0.00273693686056572,5.92191226611583e-16
"выступать ipf",-0.0484704860925823,0.10368489754103,0.00770048705603482,-0.019878404575255,-0.045486574355898,-0.0504359544031531,0.0170196907810759,-0.0281971581757427,-9.50411624400793e-16
"выступить pf",0.120768188722227,-0.032223857181227,-0.162992350600998,0.058017540452342,-0.0108434760962804,-0.00964642244204714,0.0116393103225243,-0.0122277907462912,-2.5652223401007e-16
"вытащить pf",0.370428374745652,-0.0115354841651134,0.00188229629016286,0.0121925829002657,0.00726269053133268,-0.00750985998203168,-0.0145455478628294,0.0111185004347188,1.84097528888039e-16
"вытянуть pf",0.000585867504757672,-0.257884747547723,0.0372816950875944,-0.129019095337838,-0.157939365693343,0.110683301241673,-0.0147682689347217,0.00267747050048099,7.65446733774766e-17
"выходить ipf",-0.129570084493984,0.167545045461966,0.0520325001109264,-0.0259224993671487,0.00108072560976672,-0.014791967861472,-0.00290949264367609,-0.0123337681146559,-3.27212215656125e-16
"выявить pf",-0.23281651667807,-0.369897426641098,0.00454673930446786,0.0629192485443096,0.00657547308341874,-0.0100842569856375,-0.00314476165363209,-0.00185092901619416,1.53588079754297e-15
"выяснить pf",-0.0900102888165429,-0.160027479746439,-0.332588170342191,0.0925182544311763,0.00313727922132915,-0.0117347823879598,-0.0130546746198972,-0.00141914630815722,3.35018471298021e-16
"выясниться pf",0.55010700313606,0.0506767474184356,0.1034830607724,0.0152901041030251,0.0117953938840692,-0.0169574177029546,-0.0152191891354593,0.0157042151701525,2.03613167992778e-16
"гладить ipf",0.0624573162806051,0.0162750299183012,-0.099777977014508,0.00338958823929713,-0.0575618049640365,0.0340561652082825,-0.0145001255246804,0.00070092119349307,-7.04731412115578e-17
"глядеть ipf",-0.09306212645308,-0.0129344785714916,-0.034330374250256,-0.33563640964008,-0.277317747213402,0.224616662745245,-0.0103704324336769,-0.011638847873423,-2.16254965323959e-15
"гнать ipf",-0.121828080224869,0.120573091888489,-0.00187509300709512,-0.0711272788239,0.0955075909166625,0.00312658304361771,-0.00272130482347911,0.000689725910165117,-4.81602605018061e-16
"гореть ipf",0.000798914425829713,0.12738710986243,0.0776736304875326,-0.063467498913908,-0.0348510271049583,-0.145471824099569,-0.0248524705399927,-0.0122395742134425,-9.22656048785164e-16
"готовить ipf",-0.122998781683607,0.0826390647707891,-0.105340363509803,0.067123935453569,0.0084309115830133,0.00964151923447949,-0.00224488835113427,-0.00763206460025486,2.8124204354274e-16
"готовиться ipf",-0.00902686584060756,0.113526219913147,0.00780358632989093,-0.0115482242533911,-0.0347549798057098,0.0525094070441778,-0.0098066578552373,-0.000749625091765859,6.96057794735694e-17
"греметь ipf",0.0209862604766772,0.10832033873492,0.0628875507651004,-0.0824969531345287,-0.068304668232042,-0.0197868588357396,0.0104881783714409,-0.0225881120836664,-1.1447006537102e-15
"грозить ipf",-0.13161651177214,0.234078567499271,0.120796811936136,0.0115426740861381,-0.00861535433481711,0.0107512003121145,-0.00149723906485804,-0.0103983891316523,1.13407547241984e-16
"гудеть ipf",0.0294266515027497,0.11002865047855,0.0526933094596213,-0.0385001804032724,-0.0491143331635642,-0.108948560141164,-0.0119682352008482,-0.0157202998676993,-8.58037599305028e-16
"гулять ipf",-0.150195138455147,0.0194004150316995,-0.165195595081557,0.00373818582618904,-0.00992904339770412,-0.0303119395641892,-0.0163717009566943,-0.00717642770523186,-2.87747256577653e-16
"давать ipf",-0.199177362379583,0.16783660564876,0.0395026632779404,-0.0747234367934125,0.0574734968129652,0.0103290799039588,-0.00601765917821605,-0.00519168733618899,-4.02239005992122e-16
"даваться ipf",-0.191849116531839,0.340481017046759,0.206758780214807,0.0666049604974063,0.0527437903842625,0.0242371715154576,-0.00264751945663282,-0.00420970860584696,9.11380346191315e-16
"давить ipf",-0.109937641838698,0.116068039045625,-0.0329061071417757,0.0166611682124732,0.0392094901173787,0.00114893623192526,0.01163941890497,-0.0148926652027086,-2.05781572337749e-16
"дарить ipf",-0.0236655013906042,0.118061869591344,-0.0155910754292963,0.0462436487387169,0.0398211156332285,-0.000939067182740401,0.00477763597137563,0.00307849125651761,1.00613961606655e-16
"дать pf",-0.0125605701747684,-0.0384677616630817,-0.0382652122812075,-0.0795867169366578,0.0952139859497493,0.00220661755328246,-0.00252978669775267,-0.00031862167408173,-3.64508770389627e-16
