lemma,form,frequency
бродить,ipf,fin_praet_indic_act,113
бродить,ipf,fin_praes_indic_act,44
бродить,ipf,inf_act,16
бродить,ipf,partcp_praet_act,7
бродить,ipf,ger_praes_act,4
бродить,ipf,partcp_praes_act,2
бронзировать,pf,partcp_praet_pass,1
бронировать,ipf,inf_act,2
бронировать,ipf,partcp_praet_pass,2
бронировать,ipf,fin_praes_indic_act,2
бронировать,ipf,fin_imper_act,1
бронировать,pf,fin_praet_indic_act,1
бронировать,pf,partcp_praet_pass,1
бросать,ipf,fin_praet_indic_act,91
бросать,ipf,fin_praes_indic_act,73
бросать,ipf,inf_act,47
бросать,ipf,fin_imper_act,23
бросать,ipf,ger_praes_act,15
бросать,ipf,partcp_praes_act,9
бросать,ipf,fin_fut_act,3
бросать,ipf,partcp_praet_act,1
бросаться,ipf,fin_praet_indic_med,36
бросаться,ipf,fin_praes_indic_med,35
бросаться,ipf,inf_med,8
бросаться,ipf,ger_praes_med,4
бросаться,ipf,partcp_praes_med,3
бросаться,ipf,fin_fut_med,2
бросить,pf,fin_praet_indic_act,433
бросить,pf,inf_act,127
бросить,pf,partcp_praet_pass,124
бросить,pf,fin_imper_act,113
бросить,pf,fin_fut_indic_act,52
бросить,pf,ger_praet_act,23
бросить,pf,fin_fut_pass,15
бросить,pf,partcp_praet_act,10
бросить,pf,fin_fut_act,2
броситься,pf,fin_praet_indic_med,214
броситься,pf,inf_med,19
броситься,pf,fin_fut_indic_med,11
броситься,pf,partcp_praet_med,5
броситься,pf,ger_praet_med,1
броситься,pf,fin_imper_med,1
броситься,pf,fin_fut_med,1
брюзжать,ipf,fin_praet_indic_act,2
бряцать,ipf,fin_praes_indic_act,2
бряцать,ipf,ger_praes_act,2
бряцать,ipf,fin_praet_indic_act,1
бубнить,ipf,fin_praet_indic_act,19
бубнить,ipf,fin_praes_indic_act,7
бубнить,ipf,inf_act,2
бубнить,ipf,partcp_praet_act,1
бубнить,ipf,ger_praes_act,1
будить,ipf,fin_praet_indic_act,25
