lemma,aspect,praes,fut,praet,inf,imper,gerund,partcp.act.past,partcp.act.nonpast,partcp.pass.past,partcp.pass.nonpast,rel_usage
ввергнуть,pf,0.0,0.125,0.5,0.125,0.0,0.0,0.0,0.0,0.25,0.0,1.4558345298473376e-05
ввергнуться,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вверить,pf,0.0,0.0,0.11538461538461539,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.8076923076923077,0.0,4.731462222003847e-05
ввериться,pf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
ввернуть,pf,0.0,0.625,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.4558345298473376e-05
ввести,pf,0.0,0.10583941605839416,0.28832116788321166,0.3284671532846715,0.021897810218978103,0.021897810218978103,0.0,0.0,0.23357664233576642,0.0,0.0004986233264727131
ввинтить,pf,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,9.09896581154586e-06
ввинтиться,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
ввинчиваться,ipf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
вводить,ipf,0.4444444444444444,0.009259259259259259,0.16666666666666666,0.25925925925925924,0.0,0.05555555555555555,0.009259259259259259,0.009259259259259259,0.0,0.046296296296296294,0.00019653766152939056
ввозить,ipf,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,2.3657311110019234e-05
вволакивать,ipf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
ввязаться,pf,0.0,0.13333333333333333,0.4666666666666667,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.729689743463758e-05
ввязываться,ipf,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.2738552136164203e-05
вглядеться,pf,0.0,0.0,0.36363636363636365,0.45454545454545453,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.0,4.003544957080178e-05
вглядываться,ipf,0.09523809523809523,0.0,0.42857142857142855,0.08333333333333333,0.0,0.39285714285714285,0.0,0.0,0.0,0.0,0.00015286262563397044
вгонять,ipf,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2738552136164203e-05
вгрызаться,ipf,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.2738552136164203e-05
вдаваться,ipf,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,4.003544957080178e-05
вдавить,pf,0.0,0.0,0.25,0.125,0.0,0.0,0.125,0.0,0.5,0.0,1.4558345298473376e-05
вдавиться,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вдавливать,ipf,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,7.279172649236688e-06
вдавливаться,ipf,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09896581154586e-06
вдалбливать,ipf,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,5.459379486927516e-06
вдвигать,ipf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вдвинуть,pf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.279172649236688e-06
вдвинуться,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вдевать,ipf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вделать,pf,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,1.4558345298473376e-05
вдеть,pf,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,5.459379486927516e-06
вдолбить,pf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вдохновить,pf,0.0,0.043478260869565216,0.4782608695652174,0.08695652173913043,0.0,0.0,0.08695652173913043,0.0,0.30434782608695654,0.0,4.185524273311095e-05
вдохновиться,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.459379486927516e-06
вдохновлять,ipf,0.2916666666666667,0.0,0.5,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,4.3675035895420125e-05
вдохновляться,ipf,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.4558345298473376e-05
вдохнуть,pf,0.0,0.13043478260869565,0.5652173913043478,0.2608695652173913,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,4.185524273311095e-05
вдувать,ipf,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,7.279172649236688e-06
вдуматься,pf,0.0,0.03333333333333333,0.03333333333333333,0.7333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,5.459379486927516e-05
вдумываться,ipf,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,2.001772478540089e-05
вдуть,pf,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,5.459379486927516e-06
вдыхать,ipf,0.20454545454545456,0.0,0.38636363636363635,0.20454545454545456,0.0,0.20454545454545456,0.0,0.0,0.0,0.0,8.007089914160356e-05
везти,ipf,0.49173553719008267,0.004132231404958678,0.371900826446281,0.09504132231404959,0.02066115702479339,0.0,0.0,0.012396694214876033,0.004132231404958678,0.0,0.0004403899452788196
великодушничать,ipf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вентилировать,ipf,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,7.279172649236688e-06
венчать,ipf,0.5,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,1.819793162309172e-05
венчать,pf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.639586324618344e-06
венчаться,ipf,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.279172649236688e-06
венчаться,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
вербовать,ipf,0.36363636363636365,0.0,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,2.001772478540089e-05
верещать,ipf,0.09090909090909091,0.0,0.6363636363636364,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,2.001772478540089e-05
верить,ipf,0.45145631067961167,0.0048543689320388345,0.283495145631068,0.19029126213592232,0.03495145631067961,0.02621359223300971,0.0048543689320388345,0.003883495145631068,0.0,0.0,0.0018743869571784472
вериться,ipf,0.5686274509803921,0.0,0.43137254901960786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.280945127776777e-05
верстать,ipf,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,5.459379486927516e-06
вертеть,ipf,0.23684210526315788,0.02631578947368421,0.4473684210526316,0.14473684210526316,0.05263157894736842,0.09210526315789473,0.0,0.0,0.0,0.0,0.00013830428033549707
вершить,ipf,0.35714285714285715,0.0,0.14285714285714285,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,2.5477104272328405e-05
веселеть,ipf,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
веселить,ipf,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.0,0.0,0.05555555555555555,0.2222222222222222,0.0,0.0,3.2756276921565095e-05
веселиться,ipf,0.21666666666666667,0.05,0.4166666666666667,0.21666666666666667,0.016666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.00010918758973855032
вести,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.819793162309172e-06
вести,ipf,0.30227094753328115,0.021143304620203602,0.37588097102584184,0.19263899765074394,0.025058731401722788,0.007830853563038372,0.004698512137823023,0.06577916992952232,0.0015661707126076742,0.0031323414252153485,0.0023238758682688127
вести,pf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
ветвиться,ipf,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,9.09896581154586e-06
ветшать,ipf,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,7.279172649236688e-06
вечереть,ipf,0.3333333333333333,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.6378138460782548e-05
вечерять,ipf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вешать,ipf,0.2903225806451613,0.016129032258064516,0.25806451612903225,0.27419354838709675,0.11290322580645161,0.04838709677419355,0.0,0.0,0.0,0.0,0.00011282717606316867
вешаться,ipf,0.3,0.0,0.35,0.15,0.2,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-05
вещать,ipf,0.32142857142857145,0.03571428571428571,0.42857142857142855,0.10714285714285714,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,5.095420854465681e-05
веять,ipf,0.2702702702702703,0.02702702702702703,0.6216216216216216,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,6.733234700543936e-05
вжать,pf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вжаться,pf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0918758973855031e-05
вживаться,ipf,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.2738552136164203e-05
