token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
колочу,колотить,ipf,fin,tran,sg,praes,indic,1,act
включать,включать,ipf,fin,tran,pl,fut,,2,act
найдётся,найтись,pf,fin,intr,sg,fut,indic,3,med
собираюсь,собираться,ipf,fin,intr,sg,praes,indic,1,med
проснулся,проснуться,pf,fin,intr,sg,praet,indic,,med
смирился,смириться,pf,fin,intr,sg,praet,indic,,med
спрашивают,спрашивать,ipf,fin,tran,pl,praes,indic,3,act
извините,извинить,pf,fin,tran,pl,,imper,2,act
предупредить,предупредить,pf,inf,tran,,,,,act
отвечает,отвечать,ipf,fin,intr,sg,praes,indic,3,act
приехал,приехать,pf,fin,intr,sg,praet,indic,,act
читаете,читать,ipf,fin,tran,pl,praes,indic,2,act
попался,попасться,pf,fin,intr,sg,praet,indic,,med
нашёлся,найтись,pf,fin,intr,sg,praet,indic,,med
пишу,писать,ipf,fin,tran,sg,praes,indic,1,act
рассказывал,рассказывать,ipf,fin,tran,sg,praet,indic,,act
вручил,вручить,pf,fin,tran,sg,praet,indic,,act
отвечали,отвечать,ipf,fin,intr,pl,praet,indic,,act
смеётся,смеяться,ipf,fin,intr,sg,praes,indic,3,med
нашли,найти,pf,fin,tran,pl,praet,indic,,act
выезжал,выезжать,ipf,fin,intr,sg,praet,indic,,act
смеющегося,смеяться,ipf,partcp,intr,sg,praes,,,med
отдайте,отдать,pf,fin,tran,pl,,imper,2,act
рассказывал,рассказывать,ipf,fin,tran,sg,praet,indic,,act
ложась,ложиться,ipf,ger,intr,,praes,,,med
волнуйтесь,волноваться,ipf,fin,intr,pl,,imper,2,med
слышал,слышать,ipf,fin,tran,sg,praet,indic,,act
вывешено,вывесить,pf,partcp,tran,sg,praet,,,pass
случится,случиться,pf,fin,intr,sg,fut,indic,3,med
объявили,объявить,pf,fin,tran,pl,praet,indic,,act
продолжает,продолжать,ipf,fin,tran,sg,praes,indic,3,act
услышал,услышать,pf,fin,tran,sg,praet,indic,,act
петь,петь,ipf,inf,tran,,,,,act
рассказывал,рассказывать,ipf,fin,tran,sg,praet,indic,,act
гасите,гасить,ipf,fin,tran,pl,,imper,2,act
приславший,прислать,pf,partcp,tran,sg,praet,,,act
подписал,подписать,pf,fin,tran,sg,praet,indic,,act
садятся,садиться,ipf,fin,intr,pl,praes,indic,3,med
плюйте,плевать,ipf,fin,intr,pl,,imper,2,act
садятся,садиться,ipf,fin,intr,pl,praes,indic,3,med
спрашивает,спрашивать,ipf,fin,tran,sg,praes,indic,3,act
оказался,оказаться,pf,fin,intr,sg,praet,indic,,med
разбудить,разбудить,pf,inf,tran,,,,,act
подпилил,подпилить,pf,fin,tran,sg,praet,indic,,act
разбудить,разбудить,pf,inf,tran,,,,,act
выдумывают,выдумывать,ipf,fin,tran,pl,praes,indic,3,act
разбудить,разбудить,pf,inf,tran,,,,,act
возникает,возникать,ipf,fin,intr,sg,praes,indic,3,act
остановился,остановиться,pf,fin,intr,sg,praet,indic,,med
сел,сесть,pf,fin,intr,sg,praet,indic,,act
предупрежу,предупредить,pf,fin,tran,sg,fut,indic,1,act
ласказу,рассказать,pf,fin,tran,sg,fut,indic,1,act
приказал,приказать,pf,fin,tran,sg,praet,indic,,act
придумывают,придумывать,ipf,fin,tran,pl,praes,indic,3,act
разбудили,разбудить,pf,fin,tran,pl,praet,indic,,act
болтают,болтать,ipf,fin,tran,pl,praes,indic,3,act
нажмите,нажать,pf,fin,tran,pl,,imper,2,act
уценённый,уценить,pf,partcp,tran,sg,praet,,,pass
послушайте,послушать,pf,fin,tran,pl,,imper,2,act
давали,давать,ipf,fin,tran,pl,praet,indic,,act
приходим,приходить,ipf,fin,intr,pl,praes,indic,1,act
помещается,помещаться,ipf,fin,intr,sg,praes,indic,3,med
заснуть,заснуть,pf,inf,intr,,,,,act
саслют,сослать,pf,fin,tran,pl,fut,indic,3,act
будим,будить,ipf,fin,tran,pl,praes,indic,1,act
решили,решить,pf,fin,tran,pl,praet,indic,,act
звоните,звонить,ipf,fin,intr,pl,praes,indic,2,act
развить,развить,pf,inf,tran,,,,,act
